"project_code","location","setting","year","mean_age","proportion_male","proportion_republican","proportion_conservative","total_effect_d","variance","n_control","n_status","vi"
19,"USA","Lab",2014,NA,0.366666666666667,NA,NA,-0.202369590248903,0.0520708371448919,62,28,0.0520708371448919
22,"other","Lab",2014,19.8737373737374,0.186868686868687,NA,NA,0.0965947054578963,0.0225825228830185,131,67,0.0225825228830185
23,"USA","Lab",2016,21.625,0.29042904290429,0.23828125,0.303643724696356,0.0149595969142316,0.014932293644589,207,99,0.014932293644589
21,"USA",NA,2017,22.0650887573964,0.266272189349112,NA,0.710059171597633,-0.00500844554167886,0.0264725052922704,112,57,0.0264725052922704
1,"USA","Lab",2018,21.3263888888889,0.460992907801418,0.356164383561644,0.425373134328358,-0.39660098728259,0.0293811618159277,91,56,0.0293811618159277
11,"USA","Online",2018,28.8170212765957,0.414529914529915,NA,NA,0.239075856530502,0.0179175506592121,194,79,0.0179175506592121
15,"other","Lab",2018,22.8318965517241,0.427947598253275,NA,0.223463687150838,-0.065330014731095,0.0193232176132106,154,78,0.0193232176132106
16,"USA","Lab",2018,18.9822485207101,0.227544910179641,0.51219512195122,0.545454545454545,-0.325384562526729,0.0266138478792659,107,59,0.0266138478792659
17,"USA","Online",2018,29.3084112149533,0.228813559322034,NA,0.62962962962963,0.0141190586241924,0.0393735507335101,81,37,0.0393735507335101
20,"USA","Lab",2018,21.4509803921569,0.509803921568627,NA,0.84,0.244604248698482,0.0432225833140054,66,36,0.0432225833140054
2,"USA","Online",2019,36.4579439252336,0.233644859813084,0.516129032258065,NA,0.229747697058697,0.0377905138748414,57,50,0.0377905138748414
3,"USA","Online",2019,19.3469387755102,0.238095238095238,NA,NA,0.125814179770593,0.0270854405238039,75,73,0.0270854405238039
8,"other","Lab",2019,NA,0.132575757575758,NA,NA,-0.086017315565207,0.0173342217748463,180,85,0.0173342217748463
12,"other","Lab",2019,23.8217821782178,0.386138613861386,NA,NA,-0.213945597190932,0.0476444379922076,71,30,0.0476444379922076
13,"other","Lab",2019,21.8789237668161,0.171945701357466,NA,0.116402116402116,0.14662591933711,0.0202281693771031,150,74,0.0202281693771031
14,"other","Lab",2019,32.0915492957746,0.25531914893617,NA,NA,-0.392814251737104,0.0163777875172289,191,92,0.0163777875172289
18,"USA","Online",2019,NA,0.12962962962963,NA,NA,-0.048790119677155,0.037098932809107,56,52,0.037098932809107
4,"USA","Online",2020,19.5121951219512,0.207317073170732,NA,NA,-0.31070167813984,0.0493981551070782,40,42,0.0493981551070782
5,"USA","Online",2020,22.4172661870504,0.741007194244604,NA,NA,0.139767102022948,0.0295409417018979,71,65,0.0295409417018979
6,"USA","Lab",2020,NA,NA,NA,0.510204081632653,0.000997462541568969,0.066731148408875,47,22,0.066731148408875
7,"other","Online",2020,NA,NA,NA,NA,-0.147401089734268,0.0425881172521365,68,36,0.0425881172521365
9,"other","Online",2020,NA,NA,NA,NA,0.156034177022675,0.0392078082021653,68,41,0.0392078082021653
10,"other","Online",2020,NA,NA,NA,NA,0.0496482428956245,0.0415314077635297,69,37,0.0415314077635297
24,"USA","Online",2020,24.2266666666667,0.205479452054795,NA,0.418604651162791,-0.143190422100304,0.0520899547054973,38,39,0.0520899547054973
